Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
322,310,CC,3,7,38.99,18867.4119883759,12828.4880273992,288,1782.212276865,17085.1997115109,11046.2757505342
315,311,CC,3,8,3.11,15334.8716263725,13313.8487597875,288,1782.212276865,13552.6593495075,11531.6364829225
317,311,CC,3,8,9.7,16361.6030911408,13313.8487597875,288,1782.212276865,14579.3908142758,11531.6364829225
319,311,CC,3,8,23.16,17372.6732596442,13313.8487597875,288,1782.212276865,15590.4609827792,11531.6364829225
322,311,CC,3,8,43.98,18867.4119883759,13313.8487597875,288,1782.212276865,17085.1997115109,11531.6364829225
317,313,CC,3,9,3.61,16361.6030911408,14332.5072199308,288,1782.212276865,14579.3908142758,12550.2949430658
319,313,CC,3,9,11.56,17372.6732596442,14332.5072199308,288,1782.212276865,15590.4609827792,12550.2949430658
322,313,CC,3,9,30.23,18867.4119883759,14332.5072199308,288,1782.212276865,17085.1997115109,12550.2949430658
319,315,CC,3,10,4.02,17372.6732596442,15334.8716263725,288,1782.212276865,15590.4609827792,13552.6593495075
322,315,CC,3,10,15.06,18867.4119883759,15334.8716263725,288,1782.212276865,17085.1997115109,13552.6593495075
322,317,CC,3,11,6.12,18867.4119883759,16361.6030911408,288,1782.212276865,17085.1997115109,14579.3908142758
322,320,CC,3,12,2.21,18867.4119883759,17880.4169198376,288,1782.212276865,17085.1997115109,16098.2046429726
298,290,CC,4,1,1.47,6876.89293473917,2802.73848428667,288,1782.212276865,5094.68065787417,1020.52620742167
300,290,CC,4,1,2.96,7847.70219218417,2802.73848428667,288,1782.212276865,6065.48991531917,1020.52620742167
303,290,CC,4,1,5.96,9343.01213111751,2802.73848428667,288,1782.212276865,7560.79985425251,1020.52620742167
305,290,CC,4,1,6,10339.4587977758,2802.73848428667,288,1782.212276865,8557.24652091082,1020.52620742167
307,290,CC,4,1,7.15,11352.5835348158,2802.73848428667,288,1782.212276865,9570.3712579508,1020.52620742167
310,290,CC,4,1,8.56,12828.4880273992,2802.73848428667,288,1782.212276865,11046.2757505342,1020.52620742167
312,290,CC,4,1,8.17,13822.6696153242,2802.73848428667,288,1782.212276865,12040.4573384592,1020.52620742167
315,290,CC,4,1,9.3,15334.8716263725,2802.73848428667,288,1782.212276865,13552.6593495075,1020.52620742167
317,290,CC,4,1,8.16,16361.6030911408,2802.73848428667,288,1782.212276865,14579.3908142758,1020.52620742167
319,290,CC,4,1,8.87,17372.6732596442,2802.73848428667,288,1782.212276865,15590.4609827792,1020.52620742167
298,295,CC,4,2,0.91,6876.89293473917,5358.59704401583,288,1782.212276865,5094.68065787417,3576.38476715083
300,295,CC,4,2,2.36,7847.70219218417,5358.59704401583,288,1782.212276865,6065.48991531917,3576.38476715083
303,295,CC,4,2,5.19,9343.01213111751,5358.59704401583,288,1782.212276865,7560.79985425251,3576.38476715083
305,295,CC,4,2,6.89,10339.4587977758,5358.59704401583,288,1782.212276865,8557.24652091082,3576.38476715083
307,295,CC,4,2,9.22,11352.5835348158,5358.59704401583,288,1782.212276865,9570.3712579508,3576.38476715083
310,295,CC,4,2,11,12828.4880273992,5358.59704401583,288,1782.212276865,11046.2757505342,3576.38476715083
312,295,CC,4,2,11.56,13822.6696153242,5358.59704401583,288,1782.212276865,12040.4573384592,3576.38476715083
315,295,CC,4,2,13.48,15334.8716263725,5358.59704401583,288,1782.212276865,13552.6593495075,3576.38476715083
317,295,CC,4,2,13.27,16361.6030911408,5358.59704401583,288,1782.212276865,14579.3908142758,3576.38476715083
319,295,CC,4,2,15.85,17372.6732596442,5358.59704401583,288,1782.212276865,15590.4609827792,3576.38476715083
303,297,CC,4,3,2.68,9343.01213111751,6369.36911159583,288,1782.212276865,7560.79985425251,4587.15683473083
305,297,CC,4,3,7.89,10339.4587977758,6369.36911159583,288,1782.212276865,8557.24652091082,4587.15683473083
307,297,CC,4,3,12.3,11352.5835348158,6369.36911159583,288,1782.212276865,9570.3712579508,4587.15683473083
310,297,CC,4,3,19.79,12828.4880273992,6369.36911159583,288,1782.212276865,11046.2757505342,4587.15683473083
312,297,CC,4,3,22.03,13822.6696153242,6369.36911159583,288,1782.212276865,12040.4573384592,4587.15683473083
315,297,CC,4,3,30.02,15334.8716263725,6369.36911159583,288,1782.212276865,13552.6593495075,4587.15683473083
317,297,CC,4,3,31.16,16361.6030911408,6369.36911159583,288,1782.212276865,14579.3908142758,4587.15683473083
319,297,CC,4,3,31.03,17372.6732596442,6369.36911159583,288,1782.212276865,15590.4609827792,4587.15683473083
305,299,CC,4,4,3,10339.4587977758,7360.18988658917,288,1782.212276865,8557.24652091082,5577.97760972417
307,299,CC,4,4,6.4,11352.5835348158,7360.18988658917,288,1782.212276865,9570.3712579508,5577.97760972417
310,299,CC,4,4,16.22,12828.4880273992,7360.18988658917,288,1782.212276865,11046.2757505342,5577.97760972417
312,299,CC,4,4,21.46,13822.6696153242,7360.18988658917,288,1782.212276865,12040.4573384592,5577.97760972417
